prefilter_rank	prefilter_score	donor_im	target_im	donor_domain	target_domain	cosine	primitive_jaccard	source_concept_jaccard	donor_primitive	target_primitive	donor_sources	target_sources	donor_shell	target_shell	donor_role	donor_guarantee	screen_reason
855	4.896165361697901	IM-206	IM-364	M	E	0.0038493073397100164	0.0	0.0	INFER LONG-TIME BEHAVIOR FROM TRANSFORM BEHAVIOR NEAR A BOUNDARY/LOW FREQUENCY	DECENTRALIZATION TRADES A LOCAL INFORMATION ADVANTAGE AGAINST OBJECTIVE MISALIGNMENT	M-125; M-126	E-231; E-232	M-125: Regularity assumptions; M-126: Summability structure	E-231:Information distribution | E-232:Misaligned incentives	passive inference/diagnostic	bound;local	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
856	4.895941429045847	IM-325	IM-054	M	S	0.003824880469160586	0.0	0.0	MONOTONE POLICY RESPONSE CAN BE CERTIFIED FROM COMPLEMENTARITY/ORDER STRUCTURE WITHOUT RESOLVING EVERY PARAMETER VALUE	FREEZE NUISANCE INFORMATION → MOVE ONLY INSIDE REMAINING FIBER	M-866; M-867; M-869; M-874; M-880	S-770; S-771	M-866:Complementary coordinates | M-867:Ordered action × parameter | M-869:Lattice optimization | M-874:Set-valued optimization | M-880:Nondifferentiable/discrete optimization	S-770:Conditional inference | S-771:Exponential-family structure	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
857	4.894280613020538	IM-225	IM-355	M	E	0.0036434909999771563	0.0	0.0	DEPENDENT SEQUENTIAL DATA CAN STILL HAVE SHARP DEVIATION GUARANTEES IF SURPRISES AND PREDICTABLE VARIANCE ARE CONTROLLED	EXISTING SENIOR CLAIMS CAN CAPTURE THE UPSIDE OF A GOOD NEW PROJECT AND KILL THE INVESTMENT INCENTIVE	M-311; M-313	E-091	M-311:Martingale difference structure | M-313:Martingale variance process	E-091:Existing claims	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
858	4.894026414064379	IM-181	IM-256	M	S	0.0036156929696525577	0.0	0.0	INTERROGATE AN INACCESSIBLE INTERIOR THROUGH CONTROLLED BOUNDARY INPUTS AND BOUNDARY RESPONSES	A REPRESENTATION CAN THROW AWAY MOST RAW DETAIL YET PRESERVE ALL INFORMATION RELEVANT TO ONE TARGET	M-431; M-432	S-008	M-431: PDE boundary access; M-432: Elliptic PDE	S-008:“Information” is target/model specific	active control/decision	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
859	4.893387710292479	IM-249	IM-402	M	P	0.027522734886979025	0.0	0.0	REPLACE AN INACCESSIBLE INTERIOR SOURCE BY A BOUNDARY-EQUIVALENT SOURCE THAT PRESERVES EXTERNAL OBSERVABLES	ANISOTROPY OR RELATIVE DRIFT STORES FREE ENERGY THAT CAN TURN A SMALL COLLECTIVE MODE INTO A GROWING INSTABILITY	M-655	P-512;P-513;P-514;P-515;P-516	M-655:Potential equivalence	see canonical 4000-record inventory	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
860	4.893212158210598	IM-181	IM-302	M	P	0.003526586611034316	0.0	0.0	INTERROGATE AN INACCESSIBLE INTERIOR THROUGH CONTROLLED BOUNDARY INPUTS AND BOUNDARY RESPONSES	PASSIVE SPONTANEOUS FLUCTUATIONS CAN REVEAL HOW THE SYSTEM WILL RESPOND TO A SMALL ACTIVE PERTURBATION	M-431; M-432	P-102	M-431: PDE boundary access; M-432: Elliptic PDE	P-102:Equilibrium/time-reversal conditions	active control/decision	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
861	4.893156190636088	IM-249	IM-375	M	P	0.02750286831562549	0.0	0.0	REPLACE AN INACCESSIBLE INTERIOR SOURCE BY A BOUNDARY-EQUIVALENT SOURCE THAT PRESERVES EXTERNAL OBSERVABLES	MOBILE DEGREES OF FREEDOM CAN REARRANGE THEMSELVES TO ATTENUATE A LONG-RANGE INFLUENCE	M-655	P-021; P-048	M-655:Potential equivalence	P-021:Mobile compensating degrees of freedom | P-048:Mobile response	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
862	4.8931532417941135	IM-311	IM-302	S	P	0.012094351635652763	0.058823529411764705	0.0	MANY SIGNALS CAN BE INDIVIDUALLY UNDETECTABLE YET COLLECTIVELY DETECTABLE THROUGH A SMALL GLOBAL DISTORTION OF NULL	PASSIVE SPONTANEOUS FLUCTUATIONS CAN REVEAL HOW THE SYSTEM WILL RESPOND TO A SMALL ACTIVE PERTURBATION	S-174	P-102	S-174:Rare/weak regime	P-102:Equilibrium/time-reversal conditions	passive inference/diagnostic	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
863	4.892881349338339	IM-271	IM-223	S	M	0.03879025183534761	0.0625	0.0	RESIDUAL DEPENDENCE AFTER CONDITIONING ON LATENT STATE IS EVIDENCE THE STATE REPRESENTATION IS INCOMPLETE	ENFORCE A HARD STATE CONSTRAINT WITH MINIMUM NECESSARY CORRECTION AND TRACK THAT CORRECTION SEPARATELY	S-332; S-855	M-329	S-332:Latent-variable model | S-855:Violated local independence	M-329:Hard state constraint	mechanism/structural	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
864	4.8928366605332165	IM-237	IM-231	S	M	0.05697467567990487	0.05555555555555555	0.0	A HUGE COUPLED ESTIMATION ALGORITHM CAN HAVE LOW-DIMENSIONAL ERROR DYNAMICS IN THE RIGHT RANDOM REGIME	UNDER THE RIGHT CONVEX SHELL, GLOBAL FEASIBILITY CAN BE CERTIFIED BY CHECKING ONLY SMALL SUBSETS	S-913	M-199	S-913:AMP asymptotics	M-199:Finite-dimensional convexity	passive inference/diagnostic	probabilistic	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
865	4.892724650838696	IM-265	IM-339	M	S	0.031686859554503205	0.0	0.0	WHEN THE PROCESS ITSELF IS UNCONTROLLABLE, TIMING OF EXIT CAN STILL BE THE CONTROL VARIABLE	A SCORE CAN MAKE HONEST PROBABILITY REPORTING OPTIMAL	M-341; M-343	S-159	M-341:Stochastic process + stopping rule | M-343:Markov optimal stopping	S-159:Probabilistic forecasts	active control/decision	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
866	4.892297886530933	IM-236	IM-078	S	P	0.031651402045018186	0.0	0.0	ITERATIVE SELF-FEEDBACK CREATES CORRELATED RESIDUALS; ADD A CORRECTION THAT CANCELS MEMORY OF PREVIOUS ITERATION	STATE DETERIORATES → NEW CONSTRAINTS ACTIVATE → FREEDOM FALLS → FURTHER DETERIORATION	S-911; S-912	P-680; P-880	S-911:Random high-dimensional design | S-912:AMP	P-680:Dense particulate system | P-880:Coupled degradation	mechanism/structural	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
867	4.892272102594765	IM-249	IM-153	M	P	0.034730881877461026	0.0625	0.0	REPLACE AN INACCESSIBLE INTERIOR SOURCE BY A BOUNDARY-EQUIVALENT SOURCE THAT PRESERVES EXTERNAL OBSERVABLES	SMALL DIRECTIONAL ASYMMETRY REPEATED THROUGH THE BULK CAN ACCUMULATE INTO MACROSCOPIC BOUNDARY PILE-UP	M-655	P-329; P-330	M-655:Potential equivalence	P-329:Nonequilibrium interactions | P-330:Non-Hermitian lattice	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
868	4.891657869909627	IM-325	IM-260	M	S	0.010709292104289177	0.05	0.0	MONOTONE POLICY RESPONSE CAN BE CERTIFIED FROM COMPLEMENTARITY/ORDER STRUCTURE WITHOUT RESOLVING EVERY PARAMETER VALUE	A DECISION RULE CAN SUCCEED WITHOUT IDENTIFYING THE TRUE WORLD IF ITS CUMULATIVE LOSS TRACKS A STRONG COMPARATOR	M-866; M-867; M-869; M-874; M-880	S-222	M-866:Complementary coordinates | M-867:Ordered action × parameter | M-869:Lattice optimization | M-874:Set-valued optimization | M-880:Nondifferentiable/discrete optimization	S-222:Comparator class	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
869	4.891048026974675	IM-254	IM-198	M	P	0.06210182309519866	0.0	0.0	THE SAME OBJECT CAN HAVE TWO DUAL COORDINATE SYSTEMS IN WHICH DIFFERENT OPERATIONS BECOME SIMPLE	CORRELATION/PHASE STRUCTURE CAN MAKE MANY UNITS EMIT FAR MORE OR FAR LESS THAN THE SUM OF INDEPENDENT UNITS	M-273	P-273; P-274	M-273:Information geometry	P-273: Cooperative phase coherence; P-274: Collective destructive interference	mechanism/structural	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
870	4.890669342300939	IM-311	IM-269	S	M	0.01358766224066731	0.0	0.0	MANY SIGNALS CAN BE INDIVIDUALLY UNDETECTABLE YET COLLECTIVELY DETECTABLE THROUGH A SMALL GLOBAL DISTORTION OF NULL	A RARE MACRO EVENT IS OFTEN CONTROLLED BY THE LEAST-COST ATYPICAL PATH, NOT TYPICAL FLUCTUATIONS	S-174	M-115; M-156	S-174:Rare/weak regime	M-115:Asymptotic exponential scaling | M-156:Path-space LDP	passive inference/diagnostic	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
871	4.890489143206043	IM-115	IM-107	M	S	0.03782811617228998	0.05555555555555555	0.0	CERTIFY LARGE INTERCONNECTED SYSTEM FROM MODULE-LEVEL INPUT–OUTPUT BUDGETS WITHOUT FULL INTERNAL MODEL	WHEN DATA DO NOT POINT-IDENTIFY, CORRECT ANSWER MAY BE LARGE/DISCONNECTED/UNBOUNDED SET	M-459; M-460	S-131; S-136; S-447	M-459:Storage/supply rate | M-460:Robust control	S-131:Weak assumptions | S-136:Partial identification | S-447:Weak/nonidentification	mechanism/structural	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
872	4.890095319005704	IM-068	IM-214	E	M	0.03146825457242717	0.0	0.0	CURRENT OUTPUT CAN LOOK NORMAL WHILE HIDDEN PIPELINE/RESERVOIR GUARANTEES DIFFERENT FUTURE	A CERTIFICATE CAN LOOK CORRECT ALGEBRAICALLY YET BE INVALID BECAUSE LOCAL CONSTRAINT GEOMETRY IS DEGENERATE	E-739; E-740	M-525; M-526; M-527	E-739:Construction/installation lag | E-740:Multi-stage construction	M-525: Differentiable constrained optimization; M-526: Local constraint geometry; M-527: Convex optimization	mechanism/structural	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
873	4.890041192995652	IM-267	IM-094	M	E	0.05102641741819689	0.07142857142857142	0.0	THE VALUE OF PERFECT FUTURE INFORMATION CAN BE BOUNDED WITHOUT HAVING THAT INFORMATION	LIMITED INFORMATION CAPACITY SHOULD BE SPENT ON DISTINCTIONS THAT CAN CHANGE DECISION	M-345	E-100; E-458	M-345:Sequential selection	E-100:Information-processing constraint | E-458:Information cost	mechanism/structural	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
874	4.889334795354417	IM-181	IM-093	M	E	0.003100947769799335	0.0	0.0	INTERROGATE AN INACCESSIBLE INTERIOR THROUGH CONTROLLED BOUNDARY INPUTS AND BOUNDARY RESPONSES	COSTLY INFORMATION + FREE COPYING FROM OUTPUT → PERFECT REVELATION CAN DESTROY INCENTIVE TO CREATE INFO	M-431; M-432	E-456; E-457	M-431: PDE boundary access; M-432: Elliptic PDE	E-456:Informational markets | E-457:Costly information	active control/decision	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
875	4.889014151452183	IM-007	IM-008	S	E	0.07726537474528816	0.0	0.014492753623188406	VALIDATOR IS NOT TRUTH ORACLE	EXPOSURE ≠ AUTHORITY ≠ INFORMATION ≠ LIQUIDITY	S-961; S-962; S-963; S-964; S-965; S-966; S-967; S-968; S-969; S-970; S-971; S-972; S-973; S-974; S-975; S-976; S-977; S-978; S-979; S-980; S-661; S-662; S-663; S-664; S-665; S-666; S-667; S-668; S-669; S-670; S-671; S-672; S-673; S-674; S-941; S-942; S-943; S-944; S-945; S-946; S-947; S-948; S-949; S-950; S-951; S-952; S-953; S-954; S-955; S-956; S-957; S-958; S-959; S-960	E-945; E-946; E-947; E-948; E-949; E-950; E-951; E-952; E-953; E-954; E-955; E-956; E-957; E-958; E-959; E-960; E-774; E-775; E-749; E-750	S-961:Diagnostic evaluation | S-962:Latent binary state | S-963:Population heterogeneity assumptions | S-964:Latent-class diagnostics | S-965:Shared residual mechanism | S-966:Dependent diagnostics | S-967:Misclassified reference | S-968:Selective verification | S-969:Multiple reference standards | S-970:Post-hoc verification | S-971:No single gold standard | S-972:Hidden disease status | S-973:Shared accuracy across groups | S-974:Latent diagnostic model | S-975:Bayesian weak identification | S-976:Replicate tests | S-977:Sequential diagnostics | S-978:Dynamic latent state | S-979:Covariate-dependent error | S-980:Assumption-sensitive latent model | S-661:High-quality identifiers | S-662:Noisy identifiers | S-663:Pair classification | S-664:Record pairs | S-665:Fellegi–Sunter model | S-666:Decision thresholds | S-667:Large files | S-668:Approximate ordering | S-669:Multi-record identity | S-670:Bipartite identity constraint | S-671:Probabilistic identity model | S-672:Two-stage analysis | S-673:Within-file duplicates | S-674:Noisy text fields | S-941:Probability sample | S-942:Convenience/web/admin sample | S-943:Shared covariates | S-944:Data-source selection | S-945:Estimated source propensity | S-946:Shared auxiliary variables | S-947:Reference survey | S-948:X$ modelini öğren; probability sample’daki units’in $Y$’lerini predict/impute et \| Outcome transportability | S-949:Flexible outcome relation | S-950:X$ relation nonprobability source’dan probability-target population’a taşınabiliyor varsay \| Cross-source stability | S-951:Nonprobability selection | S-952:Support overlap | S-953:Two nuisance models | S-954:Probability + nonprobability sources | S-955:Unknown selection | S-956:X$ model target’a taşınmıyorsa mass-imputation bias’ını quantify et \| Model transport failure | S-957:Observable benchmark | S-958:Unequal integration weights | S-959:Hybrid inference | S-960:Data fusion	E-945:Rival licensees excluded | E-946:Multiple licensees | E-947:Contractual scope | E-948:Territorial restriction | E-949:Delegated licensing | E-950:Commercialization discipline | E-951:Verifiable development event | E-952:Inventor moral hazard | E-953:Startup licensee | E-954:Strategic acquisition | E-955:Dormant license | E-956:Performance contingency | E-957:Follow-on innovation | E-958:Multiple essential patents | E-959:Fragmented IP rights | E-960:Regulatory intervention | E-774:Incomplete contracts | E-775:Verifiable performance | E-749:Multiple voting classes | E-750:Disproportionate rights	mechanism/structural	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
876	4.888631253986284	IM-196	IM-059	M	S	0.02514127008159304	0.09090909090909091	0.0	RECOVERY CAN HAVE A SHARP COMPLEXITY–MEASUREMENT GEOMETRY BOUNDARY	REFERENCE MEASUREMENT IS ANOTHER SENSOR, NOT AUTOMATICALLY TRUTH	M-279; M-280	S-961; S-967	M-279: Sparsity + measurement geometry; M-280: Sparse signal class	S-961:Diagnostic evaluation | S-967:Misclassified reference	passive inference/diagnostic	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
877	4.887782493657745	IM-295	IM-137	M	P	0.03127567028948437	0.0	0.0	EFFECTIVE REDUNDANCY HAS AN EXACT DUAL: MAX DISJOINT ROUTES = MINIMUM SEPARATOR	A FORBIDDEN TOPOLOGY CHANGE CAN BECOME ALLOWED IN A SPECIAL LAYER AND RELEASE STORED POTENTIAL	M-375	P-508; P-520	M-375:Graph connectivity	P-508:Nonideal plasma layer | P-520:Ideal MHD	mechanism/structural	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
878	4.887661323610612	IM-181	IM-121	M	S	0.027030409180817234	0.0	0.0	INTERROGATE AN INACCESSIBLE INTERIOR THROUGH CONTROLLED BOUNDARY INPUTS AND BOUNDARY RESPONSES	DESIGN EVIDENCE OBJECT TO REMAIN VALID UNDER DATA-DEPENDENT STOPPING	M-431; M-432	S-089; S-227; S-395	M-431: PDE boundary access; M-432: Elliptic PDE	S-089:Sequentially valid evidence | S-227:Sequential validity | S-395:E-values/test martingales	active control/decision	bound	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
879	4.887489741976738	IM-282	IM-170	E	P	0.09515971653970251	0.0	0.0	NOMINAL COMMITMENTS CAN EXCEED PHYSICAL CAPACITY WHEN ONLY A RANDOM SUBSET MATERIALIZES — AT COST OF OVERFLOW RISK	SUCCESS DEPENDS ON COMPLETING TRANSPORT/REACTION BEFORE A FINITE LIFETIME OR RESIDENCE CLOCK EXPIRES	E-465; E-466	P-465; P-466	E-465:No-show uncertainty | E-466:Random show-up	P-465: Reaction vs transport times; P-466: Timescale ratio	mechanism/structural	probabilistic	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
880	4.887353886817736	IM-325	IM-008	M	E	0.006410050409425082	0.0	0.04081632653061224	MONOTONE POLICY RESPONSE CAN BE CERTIFIED FROM COMPLEMENTARITY/ORDER STRUCTURE WITHOUT RESOLVING EVERY PARAMETER VALUE	EXPOSURE ≠ AUTHORITY ≠ INFORMATION ≠ LIQUIDITY	M-866; M-867; M-869; M-874; M-880	E-945; E-946; E-947; E-948; E-949; E-950; E-951; E-952; E-953; E-954; E-955; E-956; E-957; E-958; E-959; E-960; E-774; E-775; E-749; E-750	M-866:Complementary coordinates | M-867:Ordered action × parameter | M-869:Lattice optimization | M-874:Set-valued optimization | M-880:Nondifferentiable/discrete optimization	E-945:Rival licensees excluded | E-946:Multiple licensees | E-947:Contractual scope | E-948:Territorial restriction | E-949:Delegated licensing | E-950:Commercialization discipline | E-951:Verifiable development event | E-952:Inventor moral hazard | E-953:Startup licensee | E-954:Strategic acquisition | E-955:Dormant license | E-956:Performance contingency | E-957:Follow-on innovation | E-958:Multiple essential patents | E-959:Fragmented IP rights | E-960:Regulatory intervention | E-774:Incomplete contracts | E-775:Verifiable performance | E-749:Multiple voting classes | E-750:Disproportionate rights	active control/decision	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
881	4.887011128711995	IM-127	IM-219	S	P	0.031211378737343136	0.0	0.0	WHEN TWO ACTIONS ALMOST EQUALLY GOOD, ESTIMATED BEST ACTION CAN BE UNSTABLE EVEN IF VALUE IS STABLE	A SYSTEM’S ARROW OF TIME CAN BE VISIBLE IN FORWARD/REVERSE PATH PROBABILITIES EVEN WHEN MACRO STATE IS STATIONARY	S-738	P-121; P-124; P-125	S-738:Near-zero treatment contrast	P-121: Nonequilibrium drive; P-124: Stochastic thermodynamics; P-125: Nonequilibrium path probabilities	active control/decision	none-explicit	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
882	4.8867604680750105	IM-311	IM-230	S	M	0.013204960821721057	0.0	0.0	MANY SIGNALS CAN BE INDIVIDUALLY UNDETECTABLE YET COLLECTIVELY DETECTABLE THROUGH A SMALL GLOBAL DISTORTION OF NULL	LOSSLESS LOW-DIMENSIONAL REPRESENTATION CAN BE IMPOSSIBLE EVEN WITH ZERO NOISE: TOPOLOGY CAN FORCE COLLISIONS	S-174	M-196	S-174:Rare/weak regime	M-196:Continuous map sphere→lower dimension	passive inference/diagnostic	certificate/exact	cross-domain; moderate semantic bridge; donor operator/certificate bonus; same-theory lexical penalty
